topicno,rank,docid,score
1,58,rflu6axg,1.253600001335144
1,59,jljjqs6m,1.253499984741211
1,60,89fol3pq,1.2534990310668945
1,61,5op2m7pu,1.253100037574768
1,62,t7gpi2vo,1.253000020980835
1,63,nh06fp82,1.2518999576568604
1,64,g0gh28hu,1.251899003982544
1,65,q0yqnlyl,1.2517979145050049
1,66,k9yus2sv,1.251697063446045
1,67,c68jpu86,1.2515000104904175
1,68,7v5aln90,1.2512999773025513
1,69,4iwddq2u,1.2512990236282349
1,70,bojfc3q0,1.2511979341506958
1,71,iicbaevw,1.2508000135421753
1,72,cks6aij2,1.2507990598678589
1,73,juz9jnfk,1.2506979703903198
1,74,ffex7dw9,1.2505970001220703
1,75,h5sox8bq,1.2502000331878662
1,76,jjraqr85,1.250100016593933
1,77,x05tfkgx,1.25
1,78,uadfehr6,1.2496999502182007
1,79,v08cs51n,1.249400019645691
1,80,4k1i6y98,1.2493000030517578
1,81,yxtepbta,1.2491999864578247
1,82,mweeepam,1.2489999532699585
1,83,j99cgsjt,1.2488000392913818
1,84,h2uc7ria,1.2487000226974487
1,85,epcel2ez,1.2484999895095825
1,86,msohf5oa,1.2484990358352661
1,87,q96nsa22,1.2484979629516602
1,88,zy8qjaai,1.2482000589370728
1,89,dbowa5bt,1.2481000423431396
1,90,uf7usvuu,1.247499942779541
1,91,m8jf9n6x,1.247399091720581
1,92,1sq2uvur,1.246999979019165
1,93,tomsdx3z,1.2460999488830566
1,94,632hqjpo,1.24590003490448
1,95,v8xmnfko,1.2458000183105469
1,96,dkzqfs7m,1.2457990646362305
1,97,7w867385,1.2456979751586914
1,98,rlyjtcl5,1.2453999519348145
1,99,ba6v30jg,1.245398998260498
1,100,luxgc7st,1.2452000379562378
1,101,6jakyj24,1.2445000410079956
1,102,gv1k7u7j,1.2444000244140625
1,103,z9dolxky,1.2441999912261963
1,104,gl65i3s0,1.24399995803833
1,105,szsb1oan,1.2439990043640137
1,106,r68l7g2e,1.2438979148864746
1,107,7cb88t8n,1.2436000108718872
1,108,f1j6uhmj,1.2430000305175781
1,109,ehs2m2x2,1.2429990768432617
1,110,r6ga7rlc,1.2429980039596558
1,111,z1a0av1j,1.2426999807357788
1,112,d13bq4ij,1.2425999641418457
1,113,kkhuzf3p,1.2418999671936035
1,114,5f42du0b,1.241899013519287
1,115,xa6kwguo,1.2412999868392944
1,116,3qzlo90e,1.2410999536514282
1,117,73xil5op,1.2410989999771118
1,118,qopcs6jy,1.2407000064849854
1,119,wesrv44a,1.2404999732971191
1,120,hzuo6pwx,1.240399956703186
1,121,8anqfkmo,1.2401000261306763
1,122,6z7rt5dd,1.2396999597549438
1,123,x636ux34,1.2395999431610107
1,124,dhwlr2ui,1.2395989894866943
1,125,x9d17j5x,1.239300012588501
1,126,8fmykb4c,1.2389999628067017
1,127,ztcyvsoi,1.2389990091323853
1,128,z24axj6r,1.2384999990463257
1,129,tnj84axf,1.2382999658584595
1,130,uc7ubqbj,1.2381999492645264
1,131,20ha0m69,1.2380990982055664
1,132,latusndq,1.2380980253219604
1,133,3c4dttrt,1.2379000186920166
1,134,ccdj7137,1.2378000020980835
1,135,dnxhtbxn,1.2376999855041504
1,136,jkm496ip,1.2375999689102173
1,137,qlpvt29o,1.2374999523162842
1,138,zd4v222b,1.2373000383377075
1,139,qbu13jgc,1.2372990846633911
1,140,5fg87lvu,1.2371000051498413
1,141,98syj71y,1.237099051475525
1,142,ad3tct5b,1.2369979619979858
1,143,8m06zdho,1.2368969917297363
1,144,8kdtpwbv,1.2367959022521973
1,145,8y24j34j,1.2366950511932373
1,146,3dlukfho,1.236299991607666
1,147,65b267ic,1.236199975013733
1,148,s4ef9qob,1.2360999584197998
1,149,3b5jzndg,1.2359999418258667
1,150,yb54i1ne,1.23580002784729
1,151,wmi583s4,1.2353999614715576
1,152,0gmtnkbh,1.2352999448776245
1,153,foolgmqj,1.235298991203308
1,154,ywc5rby3,1.2351000308990479
1,155,ww6z4e9w,1.2350000143051147
1,156,j5teavse,1.2349990606307983
1,157,23yi8so0,1.2348979711532593
1,158,z2kgcjtp,1.2345000505447388
1,159,ps56vgt4,1.2344000339508057
1,160,x1wemzgn,1.2340999841690063
1,161,hstm3xn7,1.23409903049469
1,162,misprnq8,1.234097957611084
1,163,13jupb26,1.2339969873428345
1,164,qfl6hehj,1.2338958978652954
1,165,ufmcfic2,1.2336000204086304
1,166,51khqqwx,1.2333999872207642
1,167,rr7r7ef0,1.233199954032898
1,168,vvhhpchm,1.2331990003585815
1,169,emr0eh0i,1.233098030090332
1,170,890mltl8,1.232800006866455
1,171,6kr75qnn,1.2327990531921387
1,172,o349msnm,1.2323999404907227
1,173,um2khqhn,1.232200026512146
1,174,6xyipioz,1.2319999933242798
1,175,hxao5yzf,1.2315000295639038
1,176,vexo81k5,1.2309999465942383
1,177,xuczplaf,1.2307000160217285
1,178,t2942920,1.2304999828338623
1,179,55ap0lni,1.230499029159546
1,180,eh4dij8h,1.2303979396820068
1,181,szxjr695,1.2303969860076904
1,182,1v9fcmom,1.2302958965301514
1,183,t3t20wji,1.2301950454711914
1,184,4pb18zsk,1.230094075202942
1,185,cq46d5si,1.230093002319336
1,186,i936ad8e,1.2299920320510864
1,187,adpn5fb9,1.22999107837677
1,188,ghcwfcx2,1.229990005493164
1,189,971d0sir,1.2298890352249146
1,190,6cemgo83,1.229699969291687
1,191,xsva5ae7,1.2296990156173706
1,192,qq48448d,1.2295979261398315
1,193,bwa4wz94,1.2295969724655151
1,194,8xz0ddci,1.2293000221252441
1,195,y2gkaaby,1.229200005531311
1,196,f84pfq9t,1.2291990518569946
1,197,gccmkxly,1.2288999557495117
1,198,7qk98wku,1.2288990020751953
1,199,zbqfs77n,1.2287980318069458
1,200,3r8jbhhq,1.2287970781326294
1,201,hfkzu18p,1.2286959886550903
1,202,e3wjo0yk,1.228695034980774
1,203,kzavc4ez,1.2286940813064575
1,204,xy1khp7w,1.2285929918289185
1,205,s9m660jn,1.2279000282287598
1,206,f3gwxv04,1.2276999950408936
1,207,nozy6qww,1.2275999784469604
1,208,fxixiggj,1.2273999452590942
1,209,jpbfgwhl,1.2273989915847778
1,210,ihhwklmy,1.2272000312805176
1,211,vnw7odw3,1.2271990776062012
1,212,c08u4t16,1.227097988128662
1,213,9f5i6crg,1.2268999814987183
1,214,9l4786lb,1.2268990278244019
1,215,75y7lv1x,1.2267979383468628
1,216,8aj97x4n,1.2264000177383423
1,217,0pinevfc,1.226199984550476
1,218,4u2re1cu,1.2259999513626099
1,219,4i97fpzc,1.22589910030365
1,220,yd77xfg2,1.225898027420044
1,221,2sxtczbf,1.2257970571517944
1,222,lrbekcw6,1.225600004196167
1,223,ptbk69rk,1.2254999876022339
1,224,pgl7aebd,1.2254990339279175
1,225,v38tjof3,1.2252000570297241
1,226,igpsunrj,1.225100040435791
1,227,nlzdto1h,1.2247999906539917
1,228,9j5yda3k,1.2246999740600586
1,229,2d9tjzn6,1.2245999574661255
1,230,mtv80pjo,1.2244000434875488
1,231,9z8kdpp1,1.2243990898132324
1,232,797r1kpy,1.2243980169296265
1,233,8g64u3ux,1.2240999937057495
1,234,6vja5e5o,1.2237999439239502
1,235,xi1wd8b5,1.2237989902496338
1,236,mw7athol,1.2237979173660278
1,237,r0d6oaez,1.2237969636917114
1,238,rpf02tc0,1.223695993423462
1,239,kevrp8rg,1.2236950397491455
1,240,5xeergll,1.223694086074829
1,241,puuqv6zk,1.22359299659729
1,242,wa9ep45o,1.2231999635696411
1,243,t6zf5k99,1.2230000495910645
1,244,ndjbrtrv,1.222999095916748
1,245,r96izsyq,1.222898006439209
1,246,t8azymo7,1.2228970527648926
1,247,mhm7r3qc,1.2227959632873535
1,248,7zme0kxy,1.222599983215332
1,249,1abp6oom,1.222499966621399
1,250,l8vjtrjq,1.222000002861023
1,251,ljllvlrd,1.2218999862670898
1,252,jwopq9jl,1.2216999530792236
1,253,s6hld5xv,1.2215991020202637
1,254,feq8djas,1.2214000225067139
1,255,d599uera,1.2213000059127808
1,256,7hvbbq15,1.2211999893188477
1,257,5pv11lfo,1.220900058746338
1,258,89sg0cpk,1.2208000421524048
1,259,0y0hau9l,1.2206000089645386
1,260,19z4ej76,1.2203999757766724
1,261,auqh3vtr,1.220399022102356
1,262,yn8nzezq,1.22039794921875
1,263,x7yuxblo,1.2200000286102295
1,264,3cxyogor,1.219999074935913
1,265,0retx7ty,1.219897985458374
1,266,flc25wlz,1.2196999788284302
1,267,ya5ku3eu,1.2196990251541138
1,268,fdacxpmn,1.2194000482559204
1,269,1s25r3o0,1.2192000150680542
1,270,etqj2mq3,1.218999981880188
1,271,ujt4ngw0,1.2189990282058716
1,272,cycc3fvl,1.2188979387283325
1,273,ay4kqfne,1.2187000513076782
1,274,0sjci3k4,1.2186990976333618
1,275,fo8ecmht,1.218500018119812
1,276,40zyv1h8,1.218400001525879
1,277,llxqcikz,1.2182999849319458
1,278,tevmxm59,1.2182990312576294
1,279,gnk3m0b8,1.2180999517440796
1,280,nw7ymn3c,1.2178000211715698
1,281,6mef38eo,1.2177990674972534
1,282,bnuda70x,1.2177979946136475
1,283,av4mt6rg,1.217797040939331
1,284,o877uul1,1.217795968055725
1,285,ipeup5mp,1.2172000408172607
1,286,txk1qic1,1.2171000242233276
1,287,cndb031c,1.2170000076293945
1,288,x77surcs,1.2169990539550781
1,289,fy4w7xz8,1.2169979810714722
1,290,b1tq95m8,1.2169970273971558
1,291,73a7uvyz,1.2168959379196167
1,292,ea99j2qn,1.2166999578475952
1,293,lffsogc9,1.216599941253662
1,294,6o7j5k9n,1.2164000272750854
1,295,unwehrr5,1.216399073600769
1,296,x9az3twa,1.21629798412323
1,297,9dj07sac,1.2161970138549805
1,298,r71g2e9y,1.2160959243774414
1,299,cc5cg2pm,1.215994954109192
1,300,41zr4e47,1.2158939838409424
1,301,6rotsb66,1.2156000137329102
1,302,kifsxqq2,1.215499997138977
1,303,77yma44s,1.2152999639511108
1,304,4zg3ms5b,1.2151000499725342
1,305,bzdhkhae,1.2142000198364258
1,306,g55d5ijx,1.2141000032424927
1,307,zxerb7de,1.2139999866485596
1,308,iat80b4l,1.2137999534606934
1,309,wet0go35,1.213798999786377
1,310,jj86scxd,1.2136000394821167
1,311,5ncouqck,1.2130999565124512
1,312,1m5h3krw,1.2129991054534912
1,313,ehht4sff,1.2128000259399414
1,314,by4qwkla,1.212799072265625
1,315,5283jsnu,1.212797999382019
1,316,e9ix35x3,1.2125999927520752
1,317,22lt6h40,1.2122000455856323
1,318,t02jngq0,1.2120000123977661
1,319,uw2a8uwj,1.2119990587234497
1,320,9kco7qad,1.2118979692459106
1,321,u5d9tcdl,1.2118970155715942
1,322,anxwqbi5,1.2117959260940552
1,323,xr3r5fli,1.2117949724197388
1,324,vyqfh4uo,1.2115999460220337
1,325,j6t9unme,1.211400032043457
1,326,b518n9dx,1.211300015449524
1,327,mbq82f63,1.2110999822616577
1,328,g1oqvc5i,1.2109999656677246
1,329,bnv38la3,1.2108999490737915
1,330,vpodtbjk,1.2107990980148315
1,331,bo104j2y,1.2107980251312256
1,332,ry9wpcxo,1.2107970714569092
1,333,mn0l7nar,1.2107959985733032
1,334,4hqhty5o,1.2106950283050537
1,335,h8cemq2n,1.2105940580368042
1,336,2pnqpljt,1.2105929851531982
1,337,pg8u1hc2,1.2102999687194824
1,338,ugc7ce21,1.2101999521255493
1,339,vwf2djd4,1.210198998451233
1,340,uvuamh0p,1.210197925567627
1,341,trpy9bbq,1.2100000381469727
1,342,k0f9fser,1.2099000215530396
1,343,yaspd6l7,1.2098000049591064
1,344,7ubs3q6p,1.2095999717712402
1,345,m5h19hy6,1.2094999551773071
1,346,oa1uoqu5,1.2093991041183472
1,347,z443e8lk,1.2093980312347412
1,348,p17tju4c,1.2092970609664917
1,349,ao7bkcv5,1.2089999914169312
1,350,t2un7w5o,1.2086999416351318
1,351,i5hkucrn,1.2085990905761719
1,352,c49wmdxp,1.208598017692566
1,353,7l0pglef,1.2085970640182495
1,354,4gpq5syb,1.2084959745407104
1,355,1wswi7us,1.208395004272461
1,356,fciota2z,1.2083940505981445
1,357,ynlj4cge,1.2079999446868896
1,358,ayi928ct,1.2079989910125732
1,359,99vw735a,1.207800030708313
1,360,wwiay5jm,1.2074999809265137
1,361,vlszl0i8,1.2073999643325806
1,362,wb19vqv3,1.2073990106582642
1,363,i8cywew0,1.2070000171661377
1,364,3ueg2i6w,1.2069000005722046
1,365,5ei7iwu0,1.2068990468978882
1,366,5ei7iwu0,1.2068979740142822
1,367,pda9knvv,1.2066999673843384
1,368,ork04nx8,1.206699013710022
1,369,f87h5qh6,1.206597924232483
1,370,dbrblo4g,1.2065969705581665
1,371,eogj251s,1.2065958976745605
1,372,mo4luyx6,1.2065949440002441
1,373,6ayciihs,1.2063000202178955
1,374,erdity4m,1.206299066543579
1,375,9le7uk7m,1.20619797706604
1,376,y9qfmi0w,1.205899953842163
1,377,iyv86437,1.2057991027832031
1,378,9hll754i,1.2057980298995972
1,379,005b2j4b,1.2056970596313477
1,380,4wzf4vyu,1.2055959701538086
1,381,2opkte2f,1.2055950164794922
1,382,iw6e55hb,1.2055940628051758
1,383,d3hozs14,1.2054929733276367
1,384,5lm5ttai,1.2053920030593872
1,385,mn9ii7tj,1.2052910327911377
1,386,1wjhsg2y,1.2050000429153442
1,387,08b0g46x,1.2049990892410278
1,388,kreuzo0j,1.2048979997634888
1,389,zmgivpd5,1.2047970294952393
1,390,k2ixwz9w,1.2045999765396118
1,391,0g5079y1,1.2044999599456787
1,392,btwrjr87,1.2043999433517456
1,393,kfbrar54,1.2042990922927856
1,394,ohs8z91m,1.2041000127792358
1,395,wf79ujyo,1.2040990591049194
1,396,c7nwygl1,1.2040979862213135
1,397,5xhgocmi,1.203997015953064
1,398,8wzd4j82,1.203895926475525
1,399,rxhygr8x,1.2038949728012085
1,400,rklajich,1.203794002532959
1,401,t8s4s0wo,1.2035000324249268
1,402,poqf2lqm,1.2034000158309937
1,403,5pmp33d0,1.2033990621566772
1,404,xnp3ytp1,1.2031999826431274
1,405,kj67rd7g,1.2029999494552612
1,406,21htepa1,1.2028990983963013
1,407,ewbtb3yc,1.2027980089187622
1,408,ihq2cpe6,1.2026970386505127
1,409,d0imcmcl,1.2025959491729736
1,410,jempqbk6,1.2025949954986572
1,411,at4j87fn,1.2021000385284424
1,412,6rp12py3,1.2019000053405762
1,413,k7qzzixm,1.2018990516662598
1,414,4zf9qtlh,1.2018979787826538
1,415,j9t292u6,1.2015999555587769
1,416,p2ahklyl,1.201499104499817
1,417,4r3vy2k4,1.2013980150222778
1,418,iowyb7xs,1.201200008392334
1,419,o9glkhyv,1.2011990547180176
1,420,9rugpout,1.2011979818344116
1,421,84fwup69,1.201097011566162
1,422,3dzl8oi2,1.2010959386825562
1,423,txuthqgo,1.2009949684143066
1,424,qxjmr8qu,1.2009940147399902
1,425,2gokv7id,1.2008929252624512
1,426,ux1rvhgd,1.2007919549942017
1,427,ueqlhgn0,1.2007910013198853
1,428,nq2ojfta,1.2006900310516357
1,429,nz02frdm,1.2005000114440918
1,430,yxjhfg7m,1.2004990577697754
1,431,fp144dhv,1.2004979848861694
1,432,qfe780yj,1.20039701461792
1,433,1gmm8hf4,1.2001999616622925
1,434,b09wj0h7,1.2000000476837158
1,435,2s7ki6g7,1.1999000310897827
1,436,kelebqr6,1.1998990774154663
1,437,8vtz7owc,1.1998980045318604
1,438,kp2ewbn1,1.1997970342636108
1,439,jtv5jmkn,1.1994999647140503
1,440,t65hu6i8,1.1994990110397339
1,441,gf0yfuid,1.1993000507354736
1,442,buzcb8ya,1.1992000341415405
1,443,xkfcc2dx,1.1991000175476074
1,444,ehprox1q,1.1990000009536743
1,445,ebsohram,1.1988999843597412
1,446,3ecnbqom,1.198699951171875
1,447,ixytcvge,1.1983000040054321
1,448,5jai745w,1.1982990503311157
1,449,fctcwpyc,1.1979000568389893
1,450,h9xbuocb,1.1978991031646729
1,451,2jq626ye,1.197898030281067
1,452,2pj26fmv,1.1978970766067505
1,453,rv26qfmf,1.1977959871292114
1,454,ltp17r6v,1.19760000705719
1,455,qo5e355c,1.1975990533828735
1,456,166su0tn,1.1974979639053345
1,457,orqlbw9m,1.197396993637085
1,458,nom96581,1.1971999406814575
1,459,8l411r1w,1.1970000267028809
1,460,b9x51yox,1.1969000101089478
1,461,5x5q981z,1.1967999935150146
1,462,58hjolfz,1.1967990398406982
1,463,ys4mz6r7,1.1967979669570923
1,464,pos7xvu5,1.1967970132827759
1,465,fvq8hezk,1.19679594039917
1,466,yh1lioyz,1.1967949867248535
1,467,ysxvl327,1.196794033050537
1,468,igu984oc,1.1965999603271484
1,469,n8e2n30b,1.1964000463485718
1,470,6ml0puh8,1.1963990926742554
1,471,wl121lg4,1.1963980197906494
1,472,jjoxin5s,1.196397066116333
1,473,nehorqhi,1.196395993232727
1,474,qc5stoap,1.1962950229644775
1,475,amo1frs2,1.196194052696228
1,476,cmx2l7xz,1.196192979812622
1,477,juljt69q,1.1959999799728394
1,478,uhqadqnk,1.1957999467849731
1,479,c4u0gxp5,1.1956990957260132
1,480,c4u0gxp5,1.1956980228424072
1,481,szg12wfa,1.1955000162124634
1,482,suhqgmlo,1.1952999830245972
1,483,4fp34pbh,1.195199966430664
1,484,3h1o0oz3,1.195099949836731
1,485,5oisrm5s,1.1950989961624146
1,486,1wkbjtji,1.1950979232788086
1,487,i570xeyi,1.1950969696044922
1,488,khbf3llr,1.1950958967208862
1,489,mf3prkkx,1.1949950456619263
1,490,7oqfod62,1.1949940919876099
1,491,2wuc5yiu,1.194993019104004
1,492,z36p5jo6,1.1948000192642212
1,493,44ji0g78,1.1944999694824219
1,494,isbq1fqt,1.1943999528884888
1,495,hu7r3ezn,1.1943989992141724
1,496,31by8zse,1.1943979263305664
1,497,dwf5vydu,1.1942970752716064
1,498,o4nk6mzz,1.1942960023880005
1,499,qb0jtsdk,1.194195032119751
1,500,nbyv96r1,1.1940940618515015
1,501,e5frjae8,1.1938999891281128
1,502,vubszdp2,1.1938990354537964
1,503,9wflr4u3,1.1938979625701904
1,504,pj8p2x9l,1.193796992301941
1,505,zbjqjese,1.1936959028244019
1,506,wvicjqdj,1.193595051765442
1,507,7vk6g34z,1.1934940814971924
1,508,wpeac0lk,1.1933929920196533
1,509,yql6gpd3,1.1932920217514038
1,510,vm8usoay,1.1931910514831543
1,511,mhkxw1uh,1.1931899785995483
1,512,rpeqkfxc,1.193189024925232
1,513,u0fs6xcj,1.193187952041626
1,514,1s6dlcer,1.1930869817733765
1,515,kw8cg1uh,1.19308602809906
1,516,c1qqbhl8,1.192984938621521
1,517,ealoou9i,1.1929839849472046
1,518,x3hr1y6o,1.1929829120635986
1,519,w2uqaz8p,1.1928819417953491
1,520,1ub01j2x,1.1927810907363892
1,521,tboc6zyd,1.1927800178527832
1,522,5ug3a3b6,1.1926790475845337
1,523,whza57ul,1.1926779747009277
1,524,zi98dq1v,1.1925770044326782
1,525,e7kspa8j,1.1923999786376953
1,526,qele28zk,1.1922999620437622
1,527,dle938bt,1.1922990083694458
1,528,0t9ok1jb,1.1921979188919067
1,529,exe1exm1,1.1920970678329468
1,530,fwdpzv85,1.1920959949493408
1,531,vbayngh0,1.1919950246810913
1,532,c41nv5jx,1.191994071006775
1,533,gu2mt6zp,1.191992998123169
1,534,9ojile3q,1.1917999982833862
1,535,ssnvr6nj,1.1917990446090698
1,536,t3mj6gxn,1.1916979551315308
1,537,djclli8n,1.1915969848632812
1,538,aesiff1f,1.1915959119796753
1,539,l9yjby63,1.1915949583053589
1,540,73qgx58i,1.1914939880371094
1,541,89r16ok0,1.1914929151535034
1,542,pyeb86on,1.1913920640945435
1,543,pgtvx6wb,1.191391110420227
1,544,3lp54mmu,1.191290020942688
1,545,sh69tw7u,1.1911890506744385
1,546,ua6aeg5a,1.1911879777908325
1,547,5yk1j4ms,1.1908999681472778
1,548,8gncbgot,1.1907000541687012
1,549,xummm9xu,1.1906991004943848
1,550,bftsmcl4,1.190500020980835
1,551,2rccocmg,1.1904000043869019
1,552,3ain627u,1.1900999546051025
1,553,mgtciit5,1.1900990009307861
1,554,zphgnpgb,1.1899000406265259
1,555,b1f23jdt,1.1898000240325928
1,556,ggw5l1qm,1.1897000074386597
1,557,cp6he5mc,1.1895999908447266
1,558,lc9hvhn3,1.1895990371704102
1,559,yq4dtf8n,1.1895979642868042
1,560,we9cnrcb,1.1895970106124878
1,561,wafvnbdu,1.1894959211349487
1,562,xbcy96re,1.1893949508666992
1,563,rkrkofri,1.1892000436782837
1,564,gkm7i62s,1.1891990900039673
1,565,cigv3t0h,1.1890980005264282
1,566,xa8b1nuo,1.1889970302581787
1,567,xbwilp1w,1.188599944114685
1,568,achvui93,1.1885989904403687
1,569,n77dvnde,1.1884980201721191
1,570,dqpujzo8,1.1883970499038696
1,571,ijmh9012,1.1883959770202637
1,572,4p7a69kz,1.1882950067520142
1,573,d9v5xtx7,1.1881940364837646
1,574,pbq5fq92,1.1880929470062256
1,575,prgorr3d,1.1878999471664429
1,576,9mkmpwo4,1.187600016593933
1,577,uglsx7se,1.1875
1,578,yew50qrk,1.1874990463256836
1,579,15mv5yx7,1.1873979568481445
1,580,55lkfivh,1.1873970031738281
1,581,etw0dx1i,1.1873959302902222
1,582,l7w6emoi,1.1872949600219727
1,583,sa4ms55e,1.1871000528335571
1,584,lfpa80sr,1.186900019645691
1,585,qs7dsxn5,1.1868990659713745
1,586,nz4qpumr,1.1867979764938354
1,587,t6rnpnfc,1.186797022819519
1,588,s2dq2257,1.186795949935913
1,589,0mu4tkui,1.1866949796676636
1,590,3pd1lre7,1.1866940259933472
1,591,4ihv80au,1.1866929531097412
1,592,ez731lif,1.1865919828414917
1,593,w285on4x,1.1864910125732422
1,594,znu0gtcd,1.1864899396896362
1,595,889n4nsd,1.1863890886306763
1,596,4phsk46o,1.1862879991531372
1,597,a7u8xdux,1.1861870288848877
1,598,8avkjc84,1.1861860752105713
1,599,r16y83dm,1.1860849857330322
1,600,tjmx6msm,1.1860840320587158
1,601,axgqvbkj,1.1858999729156494
1,602,my16g91c,1.1857999563217163
1,603,bjjfkfgg,1.1857990026474
1,604,ojyxs3cp,1.1856980323791504
1,605,qjtifwhd,1.185697078704834
1,606,ailr08y5,1.185595989227295
1,607,37hkolv9,1.1854950189590454
1,608,7dcl9txk,1.185494065284729
1,609,sg2p6noo,1.18539297580719
1,610,smfve2ur,1.1851999759674072
1,611,fl6cn72h,1.1851990222930908
1,612,heygj90y,1.1850979328155518
1,613,zcy4hpqp,1.1849969625473022
1,614,vxjr3zr3,1.1848959922790527
1,615,nftaponp,1.1847950220108032
1,616,tp606gp1,1.1846940517425537
1,617,fyncpmal,1.1845929622650146
1,618,sldw0en7,1.184399962425232
1,619,gag50cmf,1.1842000484466553
1,620,4sv862ur,1.1841990947723389
1,621,konm26x5,1.184198021888733
1,622,3jow4xbn,1.1840970516204834
1,623,v6vqtxyo,1.1840959787368774
1,624,ok1oakqq,1.1837999820709229
1,625,uxtydu60,1.1837990283966064
1,626,q76piohs,1.1836979389190674
1,627,703afdam,1.183696985244751
1,628,lb7nathd,1.183695912361145
1,629,yu1fqq0q,1.1833000183105469
1,630,6f3e87yk,1.1832000017166138
1,631,e6x3eyhq,1.1831990480422974
1,632,st5idleq,1.1830979585647583
1,633,0hxan9rw,1.1829969882965088
1,634,l9vtsj3e,1.1829959154129028
1,635,nho5ejrf,1.1829949617385864
1,636,mmkrwj8t,1.18299400806427
1,637,47336zqs,1.1827000379562378
1,638,u3cz9pv9,1.1826990842819214
1,639,kz7jwdyj,1.1825979948043823
1,640,9rf9c75l,1.182597041130066
1,641,aeyf0yu1,1.18259596824646
1,642,3egio7z7,1.1824949979782104
1,643,rbye73yv,1.182394027709961
1,644,kj56zi59,1.182392954826355
1,645,o2wgy7hg,1.1821999549865723
1,646,ijxh1ajg,1.1820991039276123
1,647,sbsg39ix,1.1819000244140625
1,648,he853mwa,1.1818000078201294
1,649,nwzwj5a5,1.181799054145813
1,650,dei0xd1b,1.181697964668274
1,651,myu6hkt7,1.1816970109939575
1,652,ogs4mq0v,1.1815959215164185
1,653,fl5tybzb,1.181594967842102
1,654,k38we345,1.1815940141677856
1,655,uxzm5z3c,1.1813000440597534
1,656,50k0fgqx,1.181299090385437
1,657,7vrm081c,1.181198000907898
1,658,gxstlzuk,1.1810970306396484
1,659,msqhnyhw,1.1810959577560425
1,660,of9wlhga,1.180994987487793
1,661,gkm4g6co,1.1808940172195435
1,662,ikhtwyzy,1.1808929443359375
1,663,1r6kx0df,1.180891990661621
1,664,h5ire02h,1.1806000471115112
1,665,s1vj6jyi,1.1805990934371948
1,666,qma1lsuw,1.1805980205535889
1,667,t39kofet,1.180299997329712
1,668,9oy1vaef,1.1801999807357788
1,669,muxrxvyo,1.1801990270614624
1,670,jsz2lg6l,1.1800979375839233
1,671,l5jfqr9q,1.180096983909607
1,672,bbv6f5gf,1.1799958944320679
1,673,wxdkao69,1.1799949407577515
1,674,6c68pmem,1.179800033569336
1,675,e117g64b,1.1797000169754028
1,676,uubndgio,1.1796990633010864
1,677,lzk4qpqe,1.1796979904174805
1,678,c2lljdi7,1.179597020149231
1,679,2uwnamao,1.1793999671936035
1,680,ulwo6i38,1.1792000532150269
1,681,f3g3ek5u,1.1791000366210938
1,682,8djm8mi6,1.1790000200271606
